acc norm sg
acc act anim ipf norm partcp pl plen praes tran
act gen ipf norm partcp pl plen praes tran
act ipf loc norm partcp pl plen praes tran
1p act bastard indic ipf praes sg tran
anom gen pl
act dat ipf m norm partcp plen praes sg
act dat ipf n norm partcp plen praes sg
acc act inan ipf m norm partcp plen praes sg
act ipf m nom norm partcp plen praes sg
acc anim ipf norm partcp pass pl plen praes tran
gen ipf norm partcp pass pl plen praes tran
ipf loc norm partcp pass pl plen praes tran
nom pl
acc anim ipf m norm partcp pass plen praes sg tran
gen ipf m norm partcp pass plen praes sg tran
gen ipf n norm partcp pass plen praes sg tran
act indic n norm pf praet sg tran
act ipf loc m norm partcp plen praes sg
act ipf loc n norm partcp plen praes sg
3p loc norm pl
acc inan ipf m norm partcp pass plen praes sg tran
ipf m nom norm partcp pass plen praes sg tran
1p act fut indic norm pf sg
act f ipf nom norm partcp plen praes sg
ins norm partcp pass pf pl plen praet
dat f norm partcp pass pf plen praet sg
f gen norm partcp pass pf plen praet sg
f ins norm partcp pass pf plen praet sg
f loc norm partcp pass pf plen praet sg
1p ins norm sg
1p ins norm pl
acc act intr ipf n norm partcp plen praes sg
act intr ipf n nom norm partcp plen praes sg
acc act anim ipf m norm partcp plen praes sg tran
act gen ipf m norm partcp plen praes sg tran
act gen ipf n norm partcp plen praes sg tran
act ger intr ipf norm praet
3p act fut indic norm pf pl
acc anim m norm pl
anim gen m norm pl
anim loc m norm pl
2p act imper intr ipf norm pl
2p act imper ipf norm pl tran
2p act indic ipf norm pl praes tran
act ins intr norm partcp pf pl plen praet
2p ins norm pl
2p acc norm pl
2p gen norm pl
2p loc norm pl
acc act inan ipf m norm partcp plen praes sg tran
act ipf m nom norm partcp plen praes sg tran
acc act f ipf norm partcp plen praes sg tran
2p act bastard imper pf sg tran
acc act inan intr ipf norm partcp pl plen praet
act intr ipf nom norm partcp pl plen praet
acc anim m norm partcp pass pf plen praet sg tran
gen m norm partcp pass pf plen praet sg tran
gen n norm partcp pass pf plen praet sg tran
2p act imper norm pf sg tran
3p ins norm pl
act dat f intr ipf norm partcp plen praes sg
act f gen intr ipf norm partcp plen praes sg
act f ins intr ipf norm partcp plen praes sg
act f intr ipf loc norm partcp plen praes sg
act indic norm pf pl praet
act ger norm pf praet tran
act dat intr norm partcp pf pl plen praet
act ins intr m norm partcp pf plen praet sg
act ins intr n norm partcp pf plen praet sg
acc anim pl plen
gen pl plen
loc pl plen
loc m norm partcp pass pf plen praet sg tran
loc n norm partcp pass pf plen praet sg tran
act f indic ipf norm praet sg
ins sg
acc inan m norm partcp pass pf plen praet sg
m nom norm partcp pass pf plen praet sg
brev n norm partcp pass pf praet sg
2p act fut indic norm pf sg tran
anim loc m norm sg
acc act f intr ipf norm partcp plen praes sg
0 norm pl
act indic ipf m norm praet sg
acc f norm partcp pass pf plen praet sg tran
nom norm patrn sg
act ger norm pf praet
bastard brev pl
acc inan norm partcp pass pf pl plen praet
nom norm partcp pass pf pl plen praet
loc m norm partcp pass pf plen praet sg
loc n norm partcp pass pf plen praet sg
acc inan ipf norm partcp pass pl plen praes tran
ipf nom norm partcp pass pl plen praes tran
act dat ipf norm partcp pl plen praes tran
act ins ipf m norm partcp plen praes sg tran
act ins ipf n norm partcp plen praes sg tran
act ins ipf norm partcp pl plen praes tran
act indic ipf norm praes
acc act anim intr m norm partcp pf plen praet sg
act gen intr m norm partcp pf plen praet sg
act gen intr n norm partcp pf plen praet sg
acc act anim ipf norm partcp pl plen praes
act gen ipf norm partcp pl plen praes
act ipf loc norm partcp pl plen praes
act dat f intr norm partcp pf plen praet sg
act f gen intr norm partcp pf plen praet sg
act f ins intr norm partcp pf plen praet sg
act f intr loc norm partcp pf plen praet sg
acc m norm
acc act anim intr norm partcp pf pl plen praet
act gen intr norm partcp pf pl plen praet
act intr loc norm partcp pf pl plen praet
acc act anim norm partcp pf pl plen praet tran
act gen norm partcp pf pl plen praet tran
act loc norm partcp pf pl plen praet tran
act ins ipf norm partcp pl plen praet tran
f nom norm partcp pass pf plen praet sg
act indic ipf n norm praet sg
act indic ipf norm praet
comp2 norm
3p act bastard fut indic intr pf sg
act f intr ipf nom norm partcp plen praes sg
brev f ipf norm partcp pass praet sg tran
0 norm sg
2p act bastard imper ipf sg tran
2p act bastard imper pf sg
acc bastard inan ipf partcp pass pl plen praes tran
bastard ipf nom partcp pass pl plen praes tran
act dat f intr ipf norm partcp plen praet sg
act f gen intr ipf norm partcp plen praet sg
act f ins intr ipf norm partcp plen praet sg
act f intr ipf loc norm partcp plen praet sg
ipf loc m norm partcp pass plen praet sg tran
ipf loc n norm partcp pass plen praet sg tran
2p act imper intr norm pf sg
acc anim f norm
acc anim m norm
2p act fut indic norm pf sg
act bastard dat ipf partcp pl plen praes tran
act bastard ins ipf m partcp plen praes sg tran
act bastard ins ipf n partcp plen praes sg tran
2p ins norm sg
2p act fut indic norm pf pl
2p act imper ipf norm pl
0 sg
dat pl
act bastard ger intr ipf praes
2p act fut indic intr ipf pl
acc anim m norm partcp pass pf plen praet sg
gen m norm partcp pass pf plen praet sg
gen n norm partcp pass pf plen praet sg
1p act fut indic intr ipf pl
1p act imper intr ipf pl
acc norm obsc sg
gen norm obsc sg
nom norm obsc pl
acc inan ipf norm partcp pass pl plen praet tran
ipf nom norm partcp pass pl plen praet tran
acc anim norm
acc patrn sg
gen patrn sg
loc pl
bastard brev n sg
acc act inan intr norm partcp pf pl plen praet
act intr nom norm partcp pf pl plen praet
acc act f intr norm partcp pf plen praet sg
dat f ipf norm partcp pass plen praes sg tran
f gen ipf norm partcp pass plen praes sg tran
f ins ipf norm partcp pass plen praes sg tran
f ipf loc norm partcp pass plen praes sg tran
gen norm pl WO
ins ipf norm partcp pass pl plen praes tran
2p acc norm pl WO
2p gen norm pl WO
2p loc norm pl WO
act fut ger intr norm pf
acc anim norm pl comparar
gen norm pl comparar
loc norm pl comparar
norm WO
acc act anim intr ipf m norm partcp plen praes sg
act gen intr ipf m norm partcp plen praes sg
act gen intr ipf n norm partcp plen praes sg
act ipf loc m norm partcp plen praes sg tran
act ipf loc n norm partcp plen praes sg tran
gen sg WO
act dat f norm partcp pf plen praet sg tran
act f gen norm partcp pf plen praet sg tran
act f ins norm partcp pf plen praet sg tran
act f loc norm partcp pf plen praet sg tran
2p act indic ipf norm pl praes
brev ipf m norm partcp pass praet sg tran
3p acc norm pl WO
3p gen norm pl WO
norm sg voc
dat m norm partcp pass pf plen praet sg
dat n norm partcp pass pf plen praet sg
act f intr nom norm partcp pf plen praet sg
acc norm sg styl.colloq
nom norm sg styl.colloq
f ipf nom norm partcp pass plen praet sg tran
dat f norm
acc inan norm pl plen lex.meton
nom norm pl plen lex.meton
acc act inan norm partcp pf pl plen praet
act nom norm partcp pf pl plen praet
act intr ipf loc m norm partcp plen praes sg
act intr ipf loc n norm partcp plen praes sg
acc act inan intr ipf m norm partcp plen praet sg
act intr ipf m nom norm partcp plen praet sg
f ipf nom norm partcp pass plen praes sg tran
act ins intr ipf norm partcp pl plen praes
acc act inan norm partcp pf pl plen praet tran
act nom norm partcp pf pl plen praet tran
2p act imper norm pf sg
act bastard ger praet
acc act anim ipf m norm partcp plen praes sg
act gen ipf m norm partcp plen praes sg
act gen ipf n norm partcp plen praes sg
acc act anim m norm partcp pf plen praet sg tran
act gen m norm partcp pf plen praet sg tran
act gen n norm partcp pf plen praet sg tran
acc inan ipf m norm partcp pass plen praet sg tran
ipf m nom norm partcp pass plen praet sg tran
act dat f ipf norm partcp plen praet sg tran
act f gen ipf norm partcp plen praet sg tran
act f ins ipf norm partcp plen praet sg tran
act f ipf loc norm partcp plen praet sg tran
1p act indic ipf norm praes sg
ins pl
act dat ipf norm partcp pl plen praes
act ins ipf m norm partcp plen praes sg
act ins ipf n norm partcp plen praes sg
acc inan m norm sg WO
m nom norm sg WO
acc norm sg WO
nom norm sg WO
brev ipf n norm partcp pass praet sg tran
act dat f ipf norm partcp plen praes sg
act f gen ipf norm partcp plen praes sg
act f ins ipf norm partcp plen praes sg
act f ipf loc norm partcp plen praes sg
nom patrn pl
acc inan norm pl plen WO
nom norm pl plen WO
acc norm pl WO
nom norm pl WO
acc inan norm partcp pass pf pl plen praet tran WO
nom norm partcp pass pf pl plen praet tran WO
dat norm sg WO
gen norm sg WO
loc norm sg WO
act inf intr norm pf WO
act inf norm pf tran WO
f gen norm
f loc norm
acc anim bastard pl
bastard gen pl
bastard loc pl
3p act indic ipf norm pl praes tran WO
1p acc norm pl WO
1p gen norm pl WO
1p loc norm pl WO
acc n norm partcp pass pf plen praet sg
n nom norm partcp pass pf plen praet sg
brev n norm sg WO
act inf intr ipf norm WO
PARENTH norm
acc anim ipf norm partcp pass pl plen praet tran
gen ipf norm partcp pass pl plen praet tran
ipf loc norm partcp pass pl plen praet tran
bastard brev n partcp pass praet sg
acc bastard inan ipf m partcp pass plen praet sg tran
acc bastard inan m partcp pass pf plen praet sg tran
bastard ipf m nom partcp pass plen praet sg tran
bastard m nom partcp pass pf plen praet sg tran
act bastard indic intr ipf m praet sg
act bastard indic ipf m praet sg tran
act bastard indic m pf praet sg
act bastard indic m pf praet sg tran
act anom ger intr med pf praet
2p act bastard imper intr ipf sg
acc anim m norm plen sg WO
gen m norm plen sg WO
gen n norm plen sg WO
dat ipf m norm partcp pass plen praes sg tran
dat ipf n norm partcp pass plen praes sg tran
acc act ipf n norm partcp plen praes sg
act ipf n nom norm partcp plen praes sg
ipf loc m norm partcp pass plen praes sg tran
ipf loc n norm partcp pass plen praes sg tran
3p dat m norm sg WO
3p dat n norm sg WO
1p act fut indic norm pf pl tran WO
1p act imper norm pf pl tran WO
acc inan n norm sg WO
inan n nom norm sg WO
acc n norm sg WO
n nom norm sg WO
acc anim bastard m sg
bastard gen m sg
bastard gen n sg
brev intr n norm partcp pass pf praet sg
act f nom norm partcp pf plen praet sg
dat f ipf norm partcp pass plen praet sg tran
f gen ipf norm partcp pass plen praet sg tran
f ins ipf norm partcp pass plen praet sg tran
f ipf loc norm partcp pass plen praet sg tran
acc act inan ipf norm partcp pl plen praet tran
act ipf nom norm partcp pl plen praet tran
acc inan intr m norm partcp pass pf plen praet sg
intr m nom norm partcp pass pf plen praet sg
acc n norm plen sg WO
n nom norm plen sg WO
acc anim m norm sg WO
acc anim norm pl WO
acc f norm pl WO
acc f norm sg WO
acc m norm pl WO
acc m norm sg WO
acc n norm pl WO
dat f norm pl WO
dat f norm sg WO
dat m norm pl WO
dat m norm sg WO
dat n norm pl WO
dat n norm sg WO
dat norm pl WO
f gen norm pl WO
f gen norm sg WO
f nom norm pl WO
f nom norm sg WO
gen m norm pl WO
gen m norm sg WO
gen n norm pl WO
gen n norm sg WO
m nom norm pl WO
n nom norm pl WO
3p acc f norm sg WO
3p f gen norm sg WO
acc anim ipf norm partcp pass pl plen praes tran WO
gen ipf norm partcp pass pl plen praes tran WO
ipf loc norm partcp pass pl plen praes tran WO
act inf norm pf WO
brev ipf n norm partcp pass praes sg tran
3p act bastard indic praes sg
acc act inan m norm partcp pf plen praet sg tran
act m nom norm partcp pf plen praet sg tran
acc anim m plen sg
gen m plen sg
gen n plen sg
acc act inan m norm partcp pf plen praet sg
act m nom norm partcp pf plen praet sg
act indic ipf norm pl praet
act intr ipf loc m norm partcp plen praet sg
act intr ipf loc n norm partcp plen praet sg
act ipf loc m norm partcp plen praet sg
act ipf loc n norm partcp plen praet sg
act loc m norm partcp pf plen praet sg tran
act loc n norm partcp pf plen praet sg tran
acc ipf n norm partcp pass plen praet sg tran
ipf n nom norm partcp pass plen praet sg tran
3p acc m norm sg WO
3p gen m norm sg WO
3p acc n norm sg WO
3p gen n norm sg WO
brev ipf norm partcp pass pl praes tran
dat m plen sg
dat n plen sg
acc act inan ipf m norm partcp plen praet sg tran
act ipf m nom norm partcp plen praet sg tran
3p ins m norm sg WO
3p dat norm pl WO
3p ins n norm sg WO
acc anim ipf m norm partcp pass plen praet sg tran
gen ipf m norm partcp pass plen praet sg tran
gen ipf n norm partcp pass plen praet sg tran
acc act anim intr ipf norm partcp pl plen praet
act gen intr ipf norm partcp pl plen praet
act intr ipf loc norm partcp pl plen praet
act ins ipf norm partcp pl plen praes
2p act imper ipf norm sg
act bastard dat f ipf partcp plen praes sg tran
act bastard f gen ipf partcp plen praes sg tran
act bastard f ins ipf partcp plen praes sg tran
act bastard f ipf loc partcp plen praes sg tran
acc n plen sg
n nom plen sg
act ger ipf norm praet tran
brev f intr norm partcp pass pf praet sg
bastard brev f sg
2p act bastard imper sg
brev intr ipf m norm partcp pass praes sg
acc act f ipf norm partcp plen praes sg
acc anim bastard partcp pass pl plen praet
bastard gen partcp pass pl plen praet
bastard loc partcp pass pl plen praet
gen m norm
gen n norm
loc m norm
loc n norm
act dat norm partcp pf pl plen praet
act ins m norm partcp pf plen praet sg
act ins n norm partcp pf plen praet sg
3p act bastard fut indic pf sg tran
3p act bastard indic intr ipf praes sg
3p act bastard indic ipf praes sg tran
dat ipf norm partcp pass pl plen praet
ins ipf m norm partcp pass plen praet sg
ins ipf n norm partcp pass plen praet sg
bastard dat partcp pass pl plen praet
bastard ins m partcp pass plen praet sg
bastard ins n partcp pass plen praet sg
acc f ipf norm partcp pass plen praet sg tran
adnum norm
acc act intr n norm partcp pf plen praet sg
act intr n nom norm partcp pf plen praet sg
acc bastard inan partcp pass pl plen praet
bastard nom partcp pass pl plen praet
act dat intr ipf norm partcp pl plen praet
act ins intr ipf m norm partcp plen praet sg
act ins intr ipf n norm partcp plen praet sg
acc act anim intr ipf m norm partcp plen praet sg
act gen intr ipf m norm partcp plen praet sg
act gen intr ipf n norm partcp plen praet sg
3p act bastard indic pl praes
pl
distort
gen norm patrn sg
nom norm patrn pl
ins norm patrn sg
acc act bastard inan partcp pl plen praet
act bastard nom partcp pl plen praet
act intr loc m norm partcp pf plen praet sg
act intr loc n norm partcp pf plen praet sg
acc act anim m norm partcp pf plen praet sg
act gen m norm partcp pf plen praet sg
act gen n norm partcp pf plen praet sg
acc act inan intr ipf norm partcp pl plen praes WO
acc act inan ipf norm partcp pl plen praes tran WO
act intr ipf nom norm partcp pl plen praes WO
act ipf nom norm partcp pl plen praes tran WO
act f nom norm partcp pf plen praet sg tran
acc inan intr norm partcp pass pf pl plen praet
intr nom norm partcp pass pf pl plen praet
acc anim bastard ipf partcp pass pl plen praes tran
bastard gen ipf partcp pass pl plen praes tran
bastard ipf loc partcp pass pl plen praes tran
2p act imper intr ipf pl
act dat intr m norm partcp pf plen praet sg
act dat intr n norm partcp pf plen praet sg
dat f intr norm partcp pass pf plen praet sg
f gen intr norm partcp pass pf plen praet sg
f ins intr norm partcp pass pf plen praet sg
f intr loc norm partcp pass pf plen praet sg
acc act anim norm partcp pf pl plen praet
act gen norm partcp pf pl plen praet
act loc norm partcp pf pl plen praet
act dat f norm partcp pf plen praet sg
act f gen norm partcp pf plen praet sg
act f ins norm partcp pf plen praet sg
act f loc norm partcp pf plen praet sg
acc act anim ipf norm partcp pl plen praet tran
act gen ipf norm partcp pl plen praet tran
act ipf loc norm partcp pl plen praet tran
acc anim pl
3p act indic ipf norm praes sg WO
3p act indic intr ipf norm praes sg WO
ins intr ipf norm partcp pass pl plen praes
act bastard inf pf
acc act anim bastard ipf partcp pl plen praes tran
act bastard gen ipf partcp pl plen praes tran
act bastard ipf loc partcp pl plen praes tran
dat pl plen
ins m plen sg
ins n plen sg
acc bastard inan partcp pass pf pl plen praet tran
bastard nom partcp pass pf pl plen praet tran
act fut indic intr norm pf
2p act anom imper intr pf sg
act bastard ger praes
3p act bastard indic intr ipf pl praes
acc inan intr ipf norm partcp pass pl plen praes
intr ipf nom norm partcp pass pl plen praes
2p act fut indic intr ipf sg
3p act bastard indic ipf praes sg
gen norm pl 
ins norm pl WO
act dat norm partcp pf pl plen praet tran
act ins m norm partcp pf plen praet sg tran
act ins n norm partcp pf plen praet sg tran
brev intr norm partcp pass pf pl praet
ins norm sg 
dat m norm
dat n norm
1p act indic intr ipf norm pl praes WO
1p act indic intr ipf norm praes sg WO
2p act indic intr ipf norm pl praes WO
2p act indic intr ipf norm praes sg WO
3p act indic intr ipf norm pl praes WO
act inf ipf norm tran WO
bastard brev m partcp pass praet sg
2p acc anom sg
act bastard ger ipf praes tran
acc norm obsc pl
gen norm obsc pl
acc bastard inan m partcp pass plen praes sg
bastard m nom partcp pass plen praes sg
acc norm patrn sg
3p act bastard fut indic pf sg
acc n sg
gen n sg
n nom sg
act dat ipf norm partcp pl plen praet tran
act ins ipf m norm partcp plen praet sg tran
act ins ipf n norm partcp plen praet sg tran
act dat m norm partcp pf plen praet sg tran
act dat n norm partcp pf plen praet sg tran
acc act n norm partcp pf plen praet sg tran
act n nom norm partcp pf plen praet sg tran
act bastard indic ipf m praet sg
acc inan
nom
act bastard ger pf praet tran
act f intr ipf nom norm partcp plen praet sg
act f ipf nom norm partcp plen praet sg tran
0 pl
gen2 sg
act bastard ger ipf praes
anom f nom plen sg
m plen
n plen
bastard comp
bastard f nom partcp pass plen praes sg
act bastard indic n praet sg
sg
acc act bastard inan intr ipf partcp pl plen praet
acc act bastard inan intr partcp pf pl plen praet
act bastard intr ipf nom partcp pl plen praet
act bastard intr nom partcp pf pl plen praet
3p act bastard fut indic intr pf pl
acc inan pl plen
nom pl plen
acc act bastard n partcp plen praes sg
act bastard n nom partcp plen praes sg
acc bastard inan pl
bastard nom pl
1p act indic ipf norm obsc pl praes
acc act anim bastard partcp pl plen praet
act bastard gen partcp pl plen praet
act bastard loc partcp pl plen praet
acc act anim bastard ipf partcp pl plen praet tran
acc act anim bastard partcp pf pl plen praet tran
act bastard gen ipf partcp pl plen praet tran
act bastard gen partcp pf pl plen praet tran
act bastard ipf loc partcp pl plen praet tran
act bastard loc partcp pf pl plen praet tran
acc act anim bastard partcp pl plen praes
act bastard gen partcp pl plen praes
act bastard loc partcp pl plen praes
act bastard f nom partcp plen praet sg
nom patrn sg
3p act fut indic intr norm pf sg DISCOURSE
norm DISCOURSE
3p act indic ipf norm praes sg tran WO
acc n norm sg DISCOURSE
n nom norm sg DISCOURSE
ins m norm sg WO
ins n norm sg WO
act bastard indic m praet sg
"norm lex;"
ins norm sg WO
act inf intr ipf norm CONSTR
0 norm CONSTR
norm CONSTR
acc inan n norm sg CONSTR
inan n nom norm sg CONSTR
acc n norm sg CONSTR
n nom norm sg CONSTR
1p dat norm sg DISCOURSE
1p loc norm sg DISCOURSE
loc norm pl WO
inan ins n norm sg CONSTR
inan loc n norm sg CONSTR
norm CONSTR COMP
inan ins n norm sg CONSTR COMP
inan loc n norm sg CONSTR COMP
nom norm pl COMP
acc inan norm pl COMP
act f indic intr ipf norm praet sg CONSTR
1p nom norm sg WO
ins norm pl CONSTR
gen norm sg CONSTR
brev f norm sg CONSTR
norm lex.CONSTR
acc norm pl CONSTR
nom norm pl CONSTR
dat norm pl CONSTR
act indic intr norm pf praet
act f indic norm pf praet sg tran DISCOURSE
acc act f intr ipf norm partcp plen praet sg
acc
gen
bastard brev ipf m partcp pass praet sg tran
bastard brev m partcp pass pf praet sg tran
"acc norm pl phrase;infl"
"nom norm pl phrase;infl"
"acc inan norm pl phrase;infl"
f nom norm plen sg styl.official
f nom norm partcp pass pf plen praet sg tran styl.official
inan loc n norm sg WO
loc m norm sg WO
loc n norm sg WO
anim loc m norm sg WO
1p nom norm pl ?
acc f norm plen sg WO
